time,yo,
8.079,735,
8.087,738,
8.094,727,
8.101,732,
8.108,733,
8.115,732,
8.122,736,
8.129,732,
8.137,730,
8.144,749,
8.151,819,
8.158,835,
8.165,791,
8.172,752,
8.179,729,
8.187,718,
8.194,725,
8.201,731,
8.208,722,
8.215,728,
8.222,727,
8.229,718,
8.237,727,
8.244,729,
8.251,724,
8.258,733,
8.265,728,
8.272,730,
8.279,736,
8.287,730,
8.294,735,
8.301,736,
8.308,735,
8.315,737,
8.322,742,
8.329,738,
8.337,738,
8.344,744,
8.351,729,
8.358,744,
8.365,741,
8.372,742,
8.379,745,
8.387,743,
8.394,739,
8.401,752,
8.408,743,
8.415,746,
8.422,749,
8.429,741,
8.437,743,
8.444,742,
8.451,737,
8.458,739,
8.465,734,
8.472,730,
8.479,738,
8.487,735,
8.494,736,
8.501,734,
8.508,730,
8.515,735,
8.522,737,
8.529,732,
8.537,735,
8.544,738,
8.551,731,
8.558,737,
8.565,735,
8.572,733,
8.579,742,
8.587,735,
8.594,734,
8.601,741,
8.608,737,
8.615,731,
8.622,741,
8.629,733,
8.637,733,
8.644,738,
8.651,730,
8.658,731,
8.665,740,
8.672,734,
8.679,737,
8.687,738,
8.694,738,
8.701,741,
8.708,737,
8.715,746,
8.722,737,
8.729,737,
8.737,739,
8.744,733,
8.751,734,
8.758,735,
8.765,729,
8.772,731,
8.779,731,
8.787,733,
8.794,766,
8.801,794,
8.808,818,
8.815,816,
8.822,758,
8.829,723,
8.837,722,
8.844,722,
8.851,725,
8.858,731,
8.865,726,
8.872,726,
8.879,736,
8.887,724,
8.894,731,
8.901,733,
8.908,726,
8.915,732,
8.922,735,
8.929,731,
8.937,733,
8.944,732,
8.951,736,
8.958,745,
8.965,733,
8.972,734,
8.979,739,
8.987,734,
8.994,739,
9.001,739,
9.008,733,
9.015,741,
9.022,742,
9.029,741,
9.037,743,
9.044,745,
9.051,742,
9.058,748,
9.065,742,
9.072,742,
9.079,755,
9.087,741,
9.094,741,
9.101,741,
9.108,733,
9.115,734,
9.122,735,
9.129,729,
9.137,736,
9.144,730,
9.151,729,
9.158,739,
9.165,734,
9.172,734,
9.179,738,
9.187,733,
9.194,732,
9.201,734,
9.208,728,
9.215,729,
9.222,735,
9.229,732,
9.237,735,
9.244,729,
9.251,736,
9.258,732,
9.265,733,
9.272,737,
9.279,730,
9.287,734,
9.294,742,
9.301,729,
9.308,734,
9.315,741,
9.322,736,
9.329,734,
9.337,741,
9.344,736,
9.351,738,
9.358,739,
9.365,733,
9.372,734,
9.379,732,
9.387,730,
9.394,734,
9.401,732,
9.408,727,
9.415,737,
9.422,731,
9.429,755,
9.437,787,
9.444,812,
9.451,810,
9.458,768,
9.465,726,
9.472,723,
9.479,723,
9.487,719,
9.494,725,
